gene,1st tool,2nd tool,frequencies method,conservation method,haplogroup,#diffs
COX1,clustalo,mafft_auto,unweighted,entropy,L0,0
COX1,clustalo,mafft_auto,unweighted,entropy,L1,0
COX1,clustalo,mafft_auto,unweighted,entropy,L2,0
COX1,clustalo,mafft_auto,unweighted,entropy,L3,0
COX1,clustalo,mafft_auto,unweighted,entropy,L4,0
COX1,clustalo,mafft_auto,unweighted,entropy,L5,0
COX1,clustalo,mafft_auto,unweighted,entropy,L6,0
COX1,clustalo,mafft_auto,unweighted,entropy,M,0
COX1,clustalo,mafft_auto,unweighted,entropy,C,0
COX1,clustalo,mafft_auto,unweighted,entropy,E,0
COX1,clustalo,mafft_auto,unweighted,entropy,G,0
COX1,clustalo,mafft_auto,unweighted,entropy,Q,0
COX1,clustalo,mafft_auto,unweighted,entropy,Z,0
COX1,clustalo,mafft_auto,unweighted,entropy,D,0
COX1,clustalo,mafft_auto,unweighted,entropy,N,0
COX1,clustalo,mafft_auto,unweighted,entropy,A,0
COX1,clustalo,mafft_auto,unweighted,entropy,I,0
COX1,clustalo,mafft_auto,unweighted,entropy,O,0
COX1,clustalo,mafft_auto,unweighted,entropy,S,0
COX1,clustalo,mafft_auto,unweighted,entropy,W,0
COX1,clustalo,mafft_auto,unweighted,entropy,X,0
COX1,clustalo,mafft_auto,unweighted,entropy,Y,0
COX1,clustalo,mafft_auto,unweighted,entropy,R0,0
COX1,clustalo,mafft_auto,unweighted,entropy,B6,0
COX1,clustalo,mafft_auto,unweighted,entropy,F,0
COX1,clustalo,mafft_auto,unweighted,entropy,J,0
COX1,clustalo,mafft_auto,unweighted,entropy,P,0
COX1,clustalo,mafft_auto,unweighted,entropy,K,0
COX1,clustalo,mafft_auto,unweighted,entropy,B,0
COX1,clustalo,mafft_auto,unweighted,entropy,HV,0
COX1,clustalo,mafft_auto,unweighted,entropy,T,0
COX1,clustalo,mafft_auto,unweighted,entropy,R,0
COX1,clustalo,mafft_auto,unweighted,entropy,H,0
COX1,clustalo,mafft_auto,unweighted,entropy,V,0
COX1,clustalo,mafft_auto,unweighted,entropy,U,0
COX1,clustalo,mafft_auto,unweighted,variance,L0,0
COX1,clustalo,mafft_auto,unweighted,variance,L1,0
COX1,clustalo,mafft_auto,unweighted,variance,L2,0
COX1,clustalo,mafft_auto,unweighted,variance,L3,0
