1st tool,2nd tool,frequencies method,conservation method,min_diff,diff gap,diff residue,diff frequency
clustalo,mafft_parttree,unweighted,entropy,.1000,1837,7962,655
clustalo,mafft_parttree,unweighted,entropy,1,1837,7962,145
clustalo,mafft_parttree,unweighted,entropy,10,1837,7962,23
clustalo,mafft_parttree,unweighted,variance,.1000,1794,10163,655
clustalo,mafft_parttree,unweighted,variance,1,1794,10163,145
clustalo,mafft_parttree,unweighted,variance,10,1794,10163,26
clustalo,mafft_parttree,weighted,entropy,.1000,1836,7961,2502
clustalo,mafft_parttree,weighted,entropy,1,1836,7961,970
clustalo,mafft_parttree,weighted,entropy,10,1836,7961,29
clustalo,mafft_parttree,weighted,variance,.1000,1795,10164,2674
clustalo,mafft_parttree,weighted,variance,1,1795,10164,987
clustalo,mafft_parttree,weighted,variance,10,1795,10164,29

