1st tool,2nd tool,frequencies method,conservation method,min_diff,diff gap,diff residue,diff frequency
clustalo,mafft_parttree_retree-1,unweighted,entropy,.0001,2896,8091,3929
clustalo,mafft_parttree_retree-1,unweighted,entropy,.0010,2896,8091,3794
clustalo,mafft_parttree_retree-1,unweighted,entropy,.0100,2896,8091,2741
clustalo,mafft_parttree_retree-1,unweighted,entropy,.1000,2896,8091,906
clustalo,mafft_parttree_retree-1,unweighted,entropy,1,2896,8091,397
clustalo,mafft_parttree_retree-1,unweighted,entropy,10,2896,8091,16
clustalo,mafft_parttree_retree-1,unweighted,variance,.0001,2885,9583,4430
clustalo,mafft_parttree_retree-1,unweighted,variance,.0010,2885,9583,4344
clustalo,mafft_parttree_retree-1,unweighted,variance,.0100,2885,9583,2999
clustalo,mafft_parttree_retree-1,unweighted,variance,.1000,2885,9583,936
clustalo,mafft_parttree_retree-1,unweighted,variance,1,2885,9583,398
clustalo,mafft_parttree_retree-1,unweighted,variance,10,2885,9583,14
clustalo,mafft_parttree_retree-1,weighted,entropy,.0001,2897,8091,4311
clustalo,mafft_parttree_retree-1,weighted,entropy,.0010,2897,8091,4297
clustalo,mafft_parttree_retree-1,weighted,entropy,.0100,2897,8091,4179
clustalo,mafft_parttree_retree-1,weighted,entropy,.1000,2897,8091,3653
clustalo,mafft_parttree_retree-1,weighted,entropy,1,2897,8091,1666
clustalo,mafft_parttree_retree-1,weighted,entropy,10,2897,8091,21
clustalo,mafft_parttree_retree-1,weighted,variance,.0001,2886,9583,5288
clustalo,mafft_parttree_retree-1,weighted,variance,.0010,2886,9583,5230
clustalo,mafft_parttree_retree-1,weighted,variance,.0100,2886,9583,4858
clustalo,mafft_parttree_retree-1,weighted,variance,.1000,2886,9583,4008
clustalo,mafft_parttree_retree-1,weighted,variance,1,2886,9583,1839
clustalo,mafft_parttree_retree-1,weighted,variance,10,2886,9583,20

clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,.0001,2021,8122,4024
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,.0010,2021,8122,3897
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,.0100,2021,8122,2776
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,.1000,2021,8122,1422
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,1,2021,8122,739
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,entropy,10,2021,8122,25
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,.0001,2193,9927,4664
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,.0010,2193,9927,4551
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,.0100,2193,9927,3109
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,.1000,2193,9927,1448
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,1,2193,9927,706
clustalo,mafft_parttree_retree-2_partsize-1000,unweighted,variance,10,2193,9927,21
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,.0001,2022,8120,4177
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,.0010,2022,8120,4167
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,.0100,2022,8120,4069
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,.1000,2022,8120,3563
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,1,2022,8120,1877
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,entropy,10,2022,8120,31
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,variance,.0001,2194,9926,4767
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,variance,.0010,2194,9926,4761
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,variance,.0100,2194,9926,4605
clustalo,mafft_parttree_retree-2_partsize-1000,weighted,variance,.1000,2194,9926,3902
