gene,haplogroup,tool,#columns
COX1,L0,clustalo,1542
COX1,L0,mafft_auto,1542
COX1,L0,mafft_parttree,1542
COX1,L1,clustalo,87
COX1,L1,mafft_auto,87
COX1,L1,mafft_parttree,87
COX1,L2,clustalo,1542
COX1,L2,mafft_auto,1542
COX1,L2,mafft_parttree,1542
COX1,L3,clustalo,174
COX1,L3,mafft_auto,174
COX1,L3,mafft_parttree,174
COX1,L4,clustalo,19
COX1,L4,mafft_auto,19
COX1,L4,mafft_parttree,19
COX1,L5,clustalo,12
COX1,L5,mafft_auto,12
COX1,L5,mafft_parttree,12
COX1,L6,clustalo,5
COX1,L6,mafft_auto,5
COX1,L6,mafft_parttree,5
COX1,M,clustalo,327
COX1,M,mafft_auto,327
COX1,M,mafft_parttree,327
COX1,C,clustalo,1542
COX1,C,mafft_auto,1542
COX1,C,mafft_parttree,1542
COX1,E,clustalo,1542
COX1,E,mafft_auto,1542
COX1,E,mafft_parttree,1542
COX1,G,clustalo,31
COX1,G,mafft_auto,31
COX1,G,mafft_parttree,31
COX1,Q,clustalo,1542
COX1,Q,mafft_auto,1542
COX1,Q,mafft_parttree,1542
COX1,Z,clustalo,1542
COX1,Z,mafft_auto,1542
COX1,Z,mafft_parttree,1542
COX1,D,clustalo,175
COX1,D,mafft_auto,175
COX1,D,mafft_parttree,175
COX1,N,clustalo,1542
COX1,N,mafft_auto,1542
COX1,N,mafft_parttree,1542
COX1,A,clustalo,1542
COX1,A,mafft_auto,1542
COX1,A,mafft_parttree,1542
COX1,I,clustalo,1542
COX1,I,mafft_auto,1542
COX1,I,mafft_parttree,1542
COX1,O,clustalo,1
COX1,O,mafft_auto,1
COX1,O,mafft_parttree,1
COX1,S,clustalo,1542
COX1,S,mafft_auto,1542
COX1,S,mafft_parttree,1542
COX1,W,clustalo,44
COX1,W,mafft_auto,44
COX1,W,mafft_parttree,44
COX1,X,clustalo,1542
COX1,X,mafft_auto,1542
COX1,X,mafft_parttree,1542
COX1,Y,clustalo,7
COX1,Y,mafft_auto,7
COX1,Y,mafft_parttree,7
COX1,R0,clustalo,1542
