gene id, D-loop w/o 2 sections,D-loop wrong boundaries,no locations info, no gene id features, no features, unable to extract
D-loop,,HM156696.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156695.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,HM156694.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,HM156693.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156692.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156691.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,HM156690.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156689.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,HM156688.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156687.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156686.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156685.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156684.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156683.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156682.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156681.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156680.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156679.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156678.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156677.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156676.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,HM156675.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156674.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156673.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,HM156672.1 - It ends at 190 but tRNA-Phe starts at 581,,,,
D-loop,,DQ826448.1 - It ends at 190 but tRNA-Phe starts at 576,,,,
D-loop,,KT763051.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KT763050.1 - It ends at 190 but tRNA-Phe starts at 576,,,,
D-loop,,KT778766.1 - It ends at 190 but tRNA-Phe starts at 580,,,,
D-loop,,KT764936.1 - It ends at 190 but tRNA-Phe starts at 575,,,,
D-loop,,KT778765.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KT756878.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KT748522.1 - It ends at 190 but tRNA-Phe starts at 581,,,,
D-loop,,KT779554.1 - It ends at 190 but tRNA-Phe starts at 580,,,,
D-loop,,KR902533.1 - It ends at 190 but tRNA-Phe starts at 579,,,,
D-loop,,KT002469.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KT006904.1 - It ends at 190 but tRNA-Phe starts at 579,,,,
D-loop,,KR902534.1 - It ends at 190 but tRNA-Phe starts at 579,,,,
D-loop,,KR902539.1 - It ends at 190 but tRNA-Phe starts at 578,,,,
D-loop,,KR864755.1 - It ends at 190 but tRNA-Phe starts at 575,,,,
D-loop,,KR902538.1 - It ends at 190 but tRNA-Phe starts at 575,,,,
D-loop,,KR902537.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KR902535.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,KR919601.1 - It ends at 190 but tRNA-Phe starts at 576,,,,
D-loop,,KR902536.1 - It ends at 190 but tRNA-Phe starts at 577,,,,
D-loop,,,,KR025151.1 - tRNA-Phe starts at 577,,
D-loop,KP702293.1,,,,,
D-loop,KP698374.1,,,,,
